epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.9664,1.42093,3.56022,1.80389,0.00983,0.98571,0.12075,0.05472,1.34505,4.30209,1.60266,0.00015,0.00015,0.00015
2,138.246,0.96074,2.67621,1.41452,0.01381,0.97013,0.22609,0.15051,0.93398,3.75781,1.31012,0.000300125,0.000300125,0.000300125
3,201.594,0.92349,2.2402,1.3781,0.96051,0.11423,0.25763,0.14961,1.15247,3.68875,1.39754,0.00043738,0.00043738,0.00043738
4,261.384,0.92143,2.07941,1.33719,0.78835,0.23808,0.25362,0.17086,1.39768,3.16809,1.86161,0.000561765,0.000561765,0.000561765
5,318.78,0.86716,1.83717,1.2636,0.63041,0.28247,0.40489,0.27083,1.26284,2.84336,1.72835,0.00067328,0.00067328,0.00067328
6,376.268,0.91829,1.79671,1.27389,0.17304,0.55325,0.21889,0.14216,1.56901,4.76797,2.0028,0.000771925,0.000771925,0.000771925
7,433.576,0.85593,1.61,1.26273,0.66617,0.46266,0.4832,0.311,1.09571,2.41445,1.60776,0.0008577,0.0008577,0.0008577
8,492.789,0.8203,1.54486,1.22713,0.54779,0.55627,0.4912,0.32833,0.96869,4.75623,1.34819,0.0009035,0.0009035,0.0009035
9,553.449,0.88489,1.47685,1.22956,0.75557,0.50812,0.39867,0.25481,1.16014,3.30766,1.51343,0.000854,0.000854,0.000854
10,612.718,0.84529,1.4593,1.23102,0.86138,0.2707,0.45148,0.30048,1.07306,2.65697,1.46317,0.0008045,0.0008045,0.0008045
11,672.332,0.76876,1.37816,1.21769,0.77267,0.42089,0.4477,0.2962,0.98291,2.7559,1.32633,0.000755,0.000755,0.000755
12,731.019,0.75064,1.30126,1.19545,0.59929,0.87338,0.76832,0.52676,1.04858,1.94216,1.63406,0.0007055,0.0007055,0.0007055
13,789.731,0.70807,1.18547,1.16541,0.54394,0.95019,0.87681,0.63022,1.11503,1.70169,1.5978,0.000656,0.000656,0.000656
14,848.706,0.73668,1.26446,1.15807,0.88028,0.84563,0.94384,0.72574,0.89425,1.59247,1.45066,0.0006065,0.0006065,0.0006065
15,907.093,0.74331,1.21264,1.16736,0.6179,0.90952,0.85897,0.66182,0.76798,1.45723,1.24688,0.000557,0.000557,0.000557
16,966.087,0.6652,1.51924,1.20174,0.5931,0.91421,0.83371,0.62739,0.88569,1.55237,1.37726,0.0005075,0.0005075,0.0005075
17,1025.01,0.67642,1.4547,1.20188,0.85906,0.95274,0.95123,0.78807,0.71016,1.35329,1.14682,0.000458,0.000458,0.000458
18,1086.62,0.59952,1.23166,1.13689,0.81338,0.914,0.97655,0.70904,0.75457,1.40791,1.12051,0.0004085,0.0004085,0.0004085
19,1144.76,0.62554,1.23395,1.14163,0.81946,0.83929,0.93166,0.72198,0.74602,1.42294,1.04141,0.000359,0.000359,0.000359
20,1203.56,0.58653,1.18351,1.12238,0.7651,1,0.99121,0.81858,0.67574,1.27627,1.02895,0.0003095,0.0003095,0.0003095
21,1262.21,0.54742,1.12159,1.10666,0.96537,0.71029,0.94958,0.83623,0.57441,1.28933,0.96196,0.00026,0.00026,0.00026
22,1320.55,0.53959,1.09859,1.10742,0.70269,0.95394,0.98853,0.86718,0.59885,1.19652,0.98662,0.0002105,0.0002105,0.0002105
23,1383.29,0.47601,1.05481,1.07342,0.8658,0.9809,0.98219,0.84842,0.64029,1.15502,1.03359,0.000161,0.000161,0.000161
24,1445.87,0.45835,0.99831,1.05051,0.90279,0.98089,0.97943,0.82694,0.64591,1.13527,1.02366,0.0001115,0.0001115,0.0001115
25,1504.68,0.46007,0.96254,1.04172,0.90704,0.97857,0.98267,0.84461,0.6332,1.13377,1.0112,6.2e-05,6.2e-05,6.2e-05
